id	gender	subCategory	articleType	season	usage	image_path	gender_enc	subCategory_enc	articleType_enc	season_enc	usage_enc
9605	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/9605.jpg	0	1	4	0	0
6708	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/6708.jpg	0	1	4	1	0
9648	Men	Topwear	Shirts	Fall/Winter	Formal	../data/augmented_images/Shirts/9648.jpg	0	1	4	0	1
29769	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/29769.jpg	0	1	4	1	0
14526	Men	Topwear	Shirts	Fall/Winter	Formal	../data/augmented_images/Shirts/14526.jpg	0	1	4	0	1
39074	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/39074.jpg	0	1	4	1	0
14752	Men	Topwear	Shirts	Fall/Winter	Formal	../data/augmented_images/Shirts/14752.jpg	0	1	4	0	1
12667	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/12667.jpg	0	1	4	0	0
13393	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/13393.jpg	0	1	4	1	0
29279	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/29279.jpg	0	1	4	1	0
13858	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/13858.jpg	0	1	4	0	0
27859	Women	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/27859.jpg	1	1	4	1	0
8161	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/8161.jpg	0	1	4	1	0
9615	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/9615.jpg	0	1	4	0	0
6793	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/6793.jpg	0	1	4	1	0
27872	Women	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/27872.jpg	1	1	4	1	0
43306	Women	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/43306.jpg	1	1	4	1	0
12193	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/12193.jpg	0	1	4	0	0
13405	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/13405.jpg	0	1	4	1	0
12184	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/12184.jpg	0	1	4	0	0
39726	Women	Topwear	Shirts	Spring/Summer	Formal	../data/augmented_images/Shirts/39726.jpg	1	1	4	1	1
39698	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/39698.jpg	0	1	4	1	0
19187	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/19187.jpg	0	1	4	0	0
36590	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/36590.jpg	0	1	4	1	0
26812	Men	Topwear	Shirts	Spring/Summer	Formal	../data/augmented_images/Shirts/26812.jpg	0	1	4	1	1
16411	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/16411.jpg	0	1	4	0	0
37735	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/37735.jpg	0	1	4	1	0
16341	Men	Topwear	Shirts	Fall/Winter	Formal	../data/augmented_images/Shirts/16341.jpg	0	1	4	0	1
19197	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/19197.jpg	0	1	4	0	0
9445	Men	Topwear	Shirts	Fall/Winter	Formal	../data/augmented_images/Shirts/9445.jpg	0	1	4	0	1
6789	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/6789.jpg	0	1	4	1	0
11681	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/11681.jpg	0	1	4	0	0
6006	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/6006.jpg	0	1	4	1	0
20134	Women	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/20134.jpg	1	1	4	0	0
9464	Men	Topwear	Shirts	Fall/Winter	Formal	../data/augmented_images/Shirts/9464.jpg	0	1	4	0	1
31645	Men	Topwear	Shirts	Spring/Summer	Formal	../data/augmented_images/Shirts/31645.jpg	0	1	4	1	1
22208	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/22208.jpg	0	1	4	0	0
18759	Women	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/18759.jpg	1	1	4	0	0
29384	Men	Topwear	Shirts	Spring/Summer	Formal	../data/augmented_images/Shirts/29384.jpg	0	1	4	1	1
30459	Men	Topwear	Shirts	Spring/Summer	Formal	../data/augmented_images/Shirts/30459.jpg	0	1	4	1	1
8944	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/8944.jpg	0	1	4	0	0
9641	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/9641.jpg	0	1	4	0	0
51489	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/51489.jpg	0	1	4	1	0
7164	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/7164.jpg	0	1	4	0	0
12369	Men	Topwear	Shirts	Fall/Winter	Formal	../data/augmented_images/Shirts/12369.jpg	0	1	4	0	1
16028	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/16028.jpg	0	1	4	0	0
9074	Men	Topwear	Shirts	Fall/Winter	Formal	../data/augmented_images/Shirts/9074.jpg	0	1	4	0	1
48370	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/48370.jpg	0	1	4	1	0
6772	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/6772.jpg	0	1	4	1	0
31662	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/31662.jpg	0	1	4	1	0
8827	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/8827.jpg	0	1	4	0	0
7176	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/7176.jpg	0	1	4	0	0
46376	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/46376.jpg	0	1	4	1	0
26390	Men	Topwear	Shirts	Spring/Summer	Formal	../data/augmented_images/Shirts/26390.jpg	0	1	4	1	1
8750	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/8750.jpg	0	1	4	0	0
59454	Men	Topwear	Shirts	Fall/Winter	Formal	../data/augmented_images/Shirts/59454.jpg	0	1	4	0	1
10437	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/10437.jpg	0	1	4	0	0
8774	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/8774.jpg	0	1	4	0	0
17157	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/17157.jpg	0	1	4	0	0
39701	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/39701.jpg	0	1	4	1	0
17718	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/17718.jpg	0	1	4	0	0
19828	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/19828.jpg	0	1	4	0	0
19831	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/19831.jpg	0	1	4	0	0
19700	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/19700.jpg	0	1	4	1	0
2165	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/2165.jpg	0	1	4	1	0
58563	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/58563.jpg	0	1	4	1	0
37798	Men	Topwear	Shirts	Spring/Summer	Formal	../data/augmented_images/Shirts/37798.jpg	0	1	4	1	1
9664	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/9664.jpg	0	1	4	0	0
19829	Men	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/19829.jpg	0	1	4	0	0
14711	Men	Topwear	Shirts	Fall/Winter	Formal	../data/augmented_images/Shirts/14711.jpg	0	1	4	0	1
19735	Women	Topwear	Shirts	Fall/Winter	Casual	../data/augmented_images/Shirts/19735.jpg	1	1	4	0	0
29291	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/29291.jpg	0	1	4	1	0
30228	Men	Topwear	Shirts	Spring/Summer	Formal	../data/augmented_images/Shirts/30228.jpg	0	1	4	1	1
33487	Men	Topwear	Shirts	Spring/Summer	Casual	../data/augmented_images/Shirts/33487.jpg	0	1	4	1	0
